QueryName,Metacritic,RecommendationCount,SteamSpyOwners
Counter-Strike,88,68991,13033334
Team Fortress Classic,0,2439,5399140
Day of Defeat,79,2319,7621102
Deathmatch Classic,0,888,7498965
Half-Life: Opposing Force,0,2934,5399499
Ricochet,0,1965,7488563
Half-Life,96,12486,5927504
Counter-Strike: Condition Zero,65,7067,10489261
Counter-Strike: Condition Zero,65,7067,10489261
Half-Life: Blue Shift,71,2219,5368650
Half-Life 2,96,35792,9901173
Counter-Strike: Source,88,53931,15433570
Half-Life: Source,0,2547,2983660
Day of Defeat: Source,80,7185,6400269
Half-Life 2: Deathmatch,0,4328,14001822
Half-Life 2: Lost Coast,0,4352,14844765
Half-Life Deathmatch: Source,0,864,6796273
Half-Life 2: Episode One,87,4437,6298399
Portal,90,27535,9795716
Half-Life 2: Episode Two,90,6104,5735062
Team Fortress 2,92,383949,37878812
Left 4 Dead,89,9980,4473517
Left 4 Dead 2,89,140726,15574539
Dota 2,90,590480,90687580
Portal 2,95,73128,8741499
Alien Swarm,77,14625,4819841
Portal 2,95,73128,8741499
Counter-Strike: Global Offensive,83,1427633,25833156
Rag Doll Kung Fu,69,0,35332
Red Orchestra: Ostfront 41-45,81,1220,940689
Killing Floor,72,44364,3496958
SiN Episodes: Emergence,75,385,219883
SiN Episodes: Emergence,75,385,219883
SiN Episodes: Emergence,75,385,219883
Darwinia,84,444,674354
Uplink,75,1240,728339
DEFCON,84,1655,811736
Multiwinia,76,340,619832
Dangerous Waters,82,112,53087
Space Empires IV Deluxe,79,0,69946
Jagged Alliance 2,0,0,0
Disciples II: Rise of the Elves,80,299,106175
Disciples II: Gallean's Return,84,400,113708
Iron Warriors: T-72 Tank Command,56,210,43403
Space Empires V,68,204,69408
Arx Fatalis,77,389,119806
Source Filmmaker,0,10079,1146403
Earth 2160,73,412,236024
Two Worlds: Epic Edition,65,2399,942661
