QueryName,Metacritic,RecommendationCount,SteamSpyOwners,SteamSpyPlayersEstimate
Counter-Strike: Global Offensive,83,1427633,25833156,25150372
Dota 2,90,590480,90687580,90687580
Team Fortress 2,92,383949,37878812,37878812
Garry's Mod,0,237684,12790674,11871328
Unturned,0,222301,27025292,21438373
PAYDAY 2,79,219763,7278903,6745338
The Elder Scrolls V: Skyrim,94,182587,11428873,10903558
DayZ,0,153350,3610845,3578742
Rust,0,145688,4684791,4485892
Left 4 Dead 2,89,140726,15574539,13583400
Terraria,83,139819,8165607,7764044
Grand Theft Auto V,96,136846,5886074,5756584
Warframe,68,97562,14497544,8970528
ARK: Survival Evolved,0,96815,4023708,3860141
Rocket League,86,86627,4602110,4419532
Borderlands 2,89,86362,6969346,6263964
Sid Meier's Civilization V,90,85790,0,0
Sid Meier's Civilization V,90,85750,9711421,9150595
Portal 2 - Pre-order,95,73144,0,0
Portal 2,95,73128,8741499,7282849
Portal 2,95,73128,8741499,7282849
Fallout 4,84,72929,3866060,3739080
Robocraft,0,71023,11319470,8020334
H1Z1: Just Survive,0,70765,2631417,2577612
Counter-Strike,88,68991,13033334,9140731
No Man's Sky,59,68725,820524,808687
Euro Truck Simulator 2,79,68021,3293576,3051454
Arma 3,74,63534,2785120,2728087
Undertale,92,60314,2105743,1920834
Life Is Strange™,0,59864,3446920,2096955
Starbound,82,57493,2562188,2493497
Tomb Raider,86,55844,4453968,3663933
BioShock Infinite,94,55512,4619328,3526192
Heroes & Generals,0,54072,12908686,8764456
Counter-Strike: Source,88,53931,15433570,11472993
Space Engineers,0,53882,2100542,1883350
The Forest,0,51125,2436105,2322756
The Witcher 3: Wild Hunt,93,50325,2396290,2108792
Insurgency,74,48918,3102568,2548199
Dark Souls: Prepare to Die Edition,85,47180,2864930,2561112
Killing Floor,72,44364,3496958,2989220
Call of Duty: Black Ops III - Zombies,0,44352,0,0
Call of Duty: Black Ops III Beta,0,44352,1338,533
Call of Duty: Black Ops III,0,44348,1378660,1309969
Don't Starve,79,43420,3900853,3375359
Mount & Blade: Warband,78,43319,2434133,2222141
Chivalry: Medieval Warfare,79,42478,4135801,3673259
No More Room in Hell,0,42348,7067629,4447152
Fallout: New Vegas,84,41021,574636,507559
Fallout: New Vegas,84,41001,4637980,4076078
Fallout: New Vegas,84,41001,4637980,4076078
Trove,0,40879,7174342,5862400
Loadout,72,40106,5482896,3244434
The Binding of Isaac,84,39367,2968594,2669619
Saints Row IV,86,39363,3107232,2628548
Goat Simulator,62,38929,2610792,2415122
The Binding of Isaac: Rebirth,0,37982,1622576,1580070
Don't Starve Together,83,36471,5347487,4026039
Grand Theft Auto IV,90,36012,4174362,3520274
Far Cry® 3,88,36011,3048584,2704771
Half-Life 2,96,35792,9901173,5695963
Evolve Stage 2,77,35278,4904673,3403517
PAYDAY: The Heist,76,34196,4355863,3353658
7 Days to Die,0,33730,1850170,1768925
Clicker Heroes,0,33323,4549920,3427729
Path of Exile,86,33124,6170343,4071056
PlanetSide 2,84,32759,7027275,4370032
Castle Crashers,0,32371,3280304,2875153
Dying Light,87,32099,1614684,1547966
XCOM: Enemy Unknown,89,31794,3498393,2957654
Kerbal Space Program,88,31719,1647326,1591369
AdVenture Capitalist,0,31606,4000751,3066878
Rainbow Six Siege - Pro League Mute Set,0,31397,0,0
Rainbow Six Siege - Pro League Bandit Set,0,31397,0,0
Rainbow Six Siege - Pro League Thermite Set,0,31397,0,0
Rainbow Six Siege - Pro League Ash Set,0,31397,0,0
Tom Clancy's Rainbow Six Siege,0,31380,1157881,1124701
FTL: Faster Than Light,84,31184,2601286,2299082
BattleBlock Theater,85,31040,2208690,1932492
Dead by Daylight,71,30933,1373638,1309073
Hotline Miami,85,30833,2037232,1764262
Middle-earth: Shadow of Mordor,0,30701,2593574,2274870
Saints Row: The Third,84,30053,3952506,3180944
Tom Clancy's The Division,0,29451,931362,912710
Dirty Bomb,63,29390,5819535,3928115
Total War: ROME II - Emperor Edition,76,29200,2457986,2306974
Cities: Skylines,85,28743,2968056,2829957
Stardew Valley,88,28507,1879942,1770539
The Walking Dead,82,28241,2112200,1781659
Just Cause 2,84,27899,4240721,3358680
Brawlhalla,0,27890,4846026,4428859
ORION: Prelude,0,27713,2330469,1743995
Mac Portal,90,27546,0,0
Portal,90,27535,9795716,6864247
Batman™: Arkham Knight,0,27235,935667,765105
Geometry Dash,0,27117,507021,489804
METAL GEAR SOLID V: THE PHANTOM PAIN,91,26956,1213479,1122908
DARK SOULS III,89,26844,1230159,1199490
Age of Empires II: HD Edition,68,26738,3784276,3388093
South Park™: The Stick of Truth™,0,25895,1963340,1756550
